,0
331,INTRACEREBRAL HEMORRHAGE
332,MECHANICAL COMPLIC OF GASTROSTOMY
333,Torsion of left ovary and ovarian pedicle
334,"Unsp disp fx of first cervical vertebra, init for clos fx"
335,Epigastric pain
336,"Unsp injury of left wrist, hand and finger(s), init encntr"
337,Unspecified convulsions
338,SUBDURAL HEMORR-COMA NOS
339,COUGH
340,"Displaced bicondylar fracture of right tibia, init"
341,LOCAL SKIN INFECTION NOS
342,"Oth complications of the puerperium, NEC"
343,SUBDURAL HEMORRHAGE
344,Cyst of Bartholin's gland
345,ABDOMINAL PAIN EPIGASTRIC
346,Localized edema
347,"DUE TO OTHER VASCULAR DEVICE,IMPLANT,GRAFT"
348,Essential (primary) hypertension
349,SKIN DISORDERS NEC
350,Pain in thoracic spine
351,Postconcussional syndrome
352,Encounter for change or removal of surgical wound dressing
353,Other secondary syphilitic conditions
354,"Myalgia, unspecified site"
355,PULM EMBOLISM/INFARCT
356,"Fracture of coronoid process of right mandible, init"
357,VOMITING
358,Pain in right shoulder
359,ACUTE CHOLECYSTITIS
360,Jaw pain
361,"Inj musc/tend the rotator cuff of left shoulder, init"
362,DIABETES UNCOMPL ADULT
363,ABDOMINAL PAIN RLQ
364,"Disp fx of distal phalanx of left great toe, init"
365,"OTHER FORMS OF EPILEPSY AND RECURRENT SEIZURES, WITHOUT MENTION OF INTRACTABLE EPILEPSY"
366,SUICIDAL IDEATION
367,Flu due to oth ident flu virus w unsp type of pneumonia
368,"Pulmonary fibrosis, unspecified"
369,"Dvtrcli of intest, part unsp, w perf and abscess w/o bleed"
370,Pain in right knee
371,Vomiting without nausea
372,"Oth complication of other internal prosth dev/grft, init"
373,SEVERE SEPSIS 
374,"Oth pregnancy related conditions, unspecified trimester"
375,INTERMED CORONARY SYND
376,HEM EARLY PG NEC-ANTEPAR
377,ABDOMINAL PAIN LUQ
378,ANGIONEUROTIC EDEMA
379,Other specified noninflammatory disorders of vagina
380,FX ANKLE NOS-CLOSED
381,"Radiculopathy, lumbosacral region"
382,Cellulitis of right lower limb
383,Unspecified atrial flutter
384,"Food in esophagus causing other injury, initial encounter"
385,HALLUCINATIONS
386,End stage renal disease
387,CELLULITIS OF ARM
388,Dissection of vertebral artery
389,OPEN WOUND OF FINGER
390,"Angioneurotic edema, initial encounter"
391,DISLOCATION OF PROSTHETIC JOINT
392,Pericardial effusion (noninflammatory)
393,Abnormal electrocardiogram [ECG] [EKG]
394,"Burn of 2nd deg mul left fingers (nail), inc thumb, init"
395,RHABDOMYOLYSIS
396,FOREIGN BODY IN LARYNX
397,"Spinal stenosis, lumbar region"
398,"Chronic sinusitis, unspecified"
399,OTHER INJURY OF EXTERNAL GENITALS
400,OPEN WOUND OF FOREHEAD
401,"Insect bite (nonvenomous) of lower back and pelvis, init"
402,"Unsp fracture of first lumbar vertebra, init for clos fx"
403,Other pancytopenia
404,OTHER ORTHOPEDIC AFTERCARE
405,UNILAT ING HERNIA W OBST
406,"Effusion, right knee"
407,Peritoneal abscess
408,Precordial pain
409,"Abdominal aortic aneurysm, without rupture"
410,"ASTHMA, UNSPECIFIED, WITH ACUTE EXACERBATION"
411,Rectal prolapse
412,SPRAIN SHOULDER/ARM NEC
413,Hydronephrosis with renal and ureteral calculous obstruction
414,Cholangitis
415,"Unspecified contact dermatitis, unspecified cause"
416,"CELLULITIS, FINGER NOS"
417,"Poisoning by oth antidepressants, self-harm, init"
418,"Dislocation of proximal interphaln joint of r rng fngr, init"
419,ACUTE VENOUS EMBOLISM AND THROMBOSIS OF DEEP VEINS OF UPPER EXTREMITY
420,Mastodynia
421,"Gout, unspecified"
422,CONTUSION OF HAND(S)
423,Unsp psychosis not due to a substance or known physiol cond
424,"Partial intestinal obstruction, unspecified as to cause"
425,LIVER DISORDERS NEC
426,DISLOC ACROMIOCLAVIC-CL
427,SYNOVITIS NEC
428,URTICARIA NOS
429,ABRASION FOOT & TOE
430,"Torus fracture of lower end of left radius, init for clos fx"
431,ACUTE PANCREATITIS
432,DYSURIA
433,"Salpingitis and oophoritis, unspecified"
434,"Third [oculomotor] nerve palsy, right eye"
435,"Pulmonary hypertension, unspecified"
436,Pelvic and perineal pain
437,TACHYCARDIA NOS
438,INTRATHORAC INJ NOS-OPEN
439,"Unsp fracture of T11-T12 vertebra, init for clos fx"
440,HEMATOMA COMPLIC PROCEDURE
441,"Oth fracture of left acetabulum, init for clos fx"
442,Unspecified conjunctivitis
443,"Corros unsp degree of single r finger except thumb, init"
444,Acute embolism and thrombosis of deep veins of r up extrem
445,Paranoid schizophrenia
446,Pain in left hip
447,"Allergy, unspecified, initial encounter"
448,"Dorsalgia, unspecified"
449,Anesthesia of skin
450,"Hypothermia, initial encounter"
451,DYSKINESIA OF ESOPHAGUS
452,Cellulitis and abscess of mouth
453,"Hematuria, unspecified"
454,FX FEMUR INTRCAPS NEC-CL
455,"Oth pregnancy related conditions, first trimester"
456,CELLULITIS OF BUTTOCK
457,Myalgia
458,Pain in right finger(s)
459,"Poisoning by calcium-channel blockers, self-harm, init"
460,Other fatigue
461,"Traum subdr hem w LOC of unsp duration, init"
462,"Bradycardia, unspecified"
463,Frotteurism
464,Other specified soft tissue disorders
465,RECTAL & ANAL HEMORRHAGE
466,SEPTICEMIA NOS
467,DISSECTION OF VERTEBRAL ARTERY
468,Other complications of amputation stump
469,OPEN WND KNEE/LEG/ANKLE
470,INJURY FACE & NECK
471,"Anxiety disorder, unspecified"
472,Calculus of kidney
473,"Disp fx of head of right radius, init for clos fx"
474,"Fracture of oth skull and facial bones, left side, init"
475,Excessive and frequent menstruation with regular cycle
476,HEM EARLY PREG-ANTEPART
477,"Oth fracture of lower end of left femur, init for clos fx"
478,Type 2 diabetes mellitus with hyperglycemia
479,"Oth complication of vascular prosth dev/grft, init"
480,"Nontraumatic intracranial hemorrhage, unspecified"
481,SURG COMPL-URINARY TRACT
482,"Unsp disp fx of surgical neck of right humerus, init"
483,"Laceration w/o fb of left thumb w/o damage to nail, init"
484,DIAB KETOACIDOSIS IDDM
485,BIPOL DEPR-SEV W PSYCH
486,"Localized swelling, mass and lump, neck"
487,"Disp fx of lateral malleolus of left fibula, init"
488,Cellulitis of right toe
489,"Hemorrhage in early pregnancy, unspecified"
490,"Mental disorder, not otherwise specified"
491,"Neoplasm of unsp behavior of bone, soft tissue, and skin"
492,CELLULITIS/ABSCESS OF TRUNK
493,"Unsp fracture of third lumbar vertebra, init for clos fx"
494,"Alcohol dependence, uncomplicated"
495,POIS-ANTICONVUL NEC/NOS
496,FX DISTAL RADIUS NEC-CL
497,"FX DISTAL PHAL, HAND-OPN"
498,Homicidal ideations
499,HERPES ZOSTER NOS
500,CARDIAC DYSRHYTHMIAS NEC
501,FX RADIUS HEAD-CLOSED
502,OTHER SYMPTOMS INVOLVING HEAD AND NECK
503,SPRAIN LUMBAR REGION
504,OTHER COMPLICATIONS OF OTHER BARIATRIC PROCEDURE
505,Visual hallucinations
506,MONONEURITIS NOS
507,Oth disrd of the skin and subcutaneous tissue
508,Problems in relationship with spouse or partner
509,"Poisn by antiparkns drug/centr musc-tone depr, acc, init"
510,Adult failure to thrive
511,"Mech compl of cystostomy catheter, initial encounter"
512,"Female pelvic inflammatory disease, unspecified"
513,HAND INJURY NOS
514,CONTUSION OF CHEST WALL
515,TRANS CEREB ISCHEMIA NOS
516,Other visual disturbances
517,Acute vulvitis
518,Opioid dependence with withdrawal
519,JOINT PAIN-PELVIS
520,EXT HEMORRHOID W/O COMPL
521,"Oth pregnancy related conditions, second trimester"
522,PRURITIC DISORDER NOS
523,SWELLING OR MASS OF EYE
524,"LeFort I fracture, initial encounter for closed fracture"
525,FX METACARPAL NOS-CLOSED
526,BUTTOCK CONTUSION
527,THROAT PAIN
528,"Oth fracture of upper and lower end of right fibula, init"
529,"Laceration without foreign body of left forearm, init encntr"
530,"Unspecified otitis externa, right ear"
531,THROMBOPHLEBITIS NEC
532,"Unspecified injury of head, initial encounter"
533,INFECTION DUE TO OTHER BARIATRIC PROCEDURE
534,"Unsp fracture of left forearm, init for opn fx type I/2"
535,SUBARACHNOID HEM-NO COMA
536,HYPOTENSION NOS
537,"Laceration w/o fb of r rng fngr w/o damage to nail, init"
538,"Contusion of scalp, initial encounter"
539,EDEMA
540,Unspecified renal colic
541,Cutaneous abscess of right lower limb
542,"Sciatica, left side"
543,"Lesion of ulnar nerve, right upper limb"
544,"Inj conjunctiva and corneal abrasion w/o fb, left eye, init"
545,"Acute ischemic heart disease, unspecified"
546,DERMATITIS NOS
547,Other chronic pain
548,Delusional disorders
549,HYPOTHYROIDISM NOS
550,Hypertensive urgency
551,ST elevation (STEMI) myocardial infarction of unsp site
552,"Unsp fracture of unsp pubis, init encntr for closed fracture"
553,SPON ABORT UNCOMPL-INC
554,CHOLELITHIASIS NOS
555,CLOS SKULL BASE FRACTURE
556,"SUBENDOCARDIAL INFARCTION, INITIAL EPISODE OF CARE"
557,"Enterocolitis d/t Clostridium difficile, not spcf as recur"
558,MANIC-DEPRESSIVE NOS
559,MACROGLOBULINEMIA
560,Other keratitis
561,FX FACIAL BONE NEC-CLOSE
562,"Acute suppr otitis media w/o spon rupt ear drum, bilateral"
563,OPEN WOUND OF CHEST
564,FRACTURE OF STERNUM-CLOS
565,OLECRANON BURSITIS
566,HYPOXEMIA
567,VENOUS INSUFFICIENCY NOS
568,ABSCESS OF VULVA NEC
569,"Disorientation, unspecified"
570,"Disp fx of proximal phalanx of right little finger, init"
571,FRACTURE TWO RIBS-CLOSED
572,"WEIGHT LOSS, ABNORMAL"
573,ELB/FOREARM/WRST INJ NOS
574,VACCIN FOR RABIES
575,Encounter for exam and obs following alleged adult rape
576,"Pnctr w/o fb of l mid finger w/o damage to nail, init"
577,"Contusion of left front wall of thorax, initial encounter"
578,FX C1 VERTEBRA-CLOSED
579,FX SACRUM/COCCYX-CLOSED
580,RUPTUR THORACIC ANEURYSM
581,"Laceration without foreign body of left wrist, init encntr"
582,"Unspecified dislocation of left shoulder joint, init encntr"
583,"Oth injuries of left wrist, hand and finger(s), init encntr"
584,ACUTE VENOUS EMBOLISM AND THROMBOSIS OF SUBCLAVIAN VEINS
585,ENCOUNTER FOR CHANGE OR REMOVAL OF SURGICAL WOUND DRESSING
586,FX DORSAL VERTEBRA-CLOSE
587,"Antepartum hemorrhage, unspecified, first trimester"
588,Herpesviral infection of penis
589,FOREIGN BDY EXT EYE NEC
590,ANAL OR RECTAL PAIN
591,"Unsp fracture of T7-T8 vertebra, init for clos fx"
592,OTHER HEMOPTYSIS
593,SECONDARY MALIG NEO BONE
594,TENOSYNOV HAND/WRIST NEC
595,NEUROTIC DISORDER NOS
596,CIRRHOSIS OF LIVER NOS
597,HEMORR COMPLIC PROCEDURE
598,FX NECK OF FEMUR NOS-CL
599,"Other psychoactive substance abuse, uncomplicated"
600,Oth cond assoc w female genital organs and menstrual cycle
601,OTHER CONVULSIONS
602,PARANOIA
603,Carbuncle of abdominal wall
604,PLACEN PREV HEM-ANTEPART
605,"Localized swelling, mass and lump, head"
606,Periorbital cellulitis
607,"Dislocation of left ankle joint, initial encounter"
608,Other gastritis without bleeding
609,Acute respiratory failure with hypoxia
610,BULLOUS DERMATOSES NEC
611,OPEN WOUND OF JAW
612,"Contusion of abdominal wall, initial encounter"
613,"Transient cerebral ischemic attack, unspecified"
614,OBSERV FOLLOWING RAPE
615,"Localized swelling, mass and lump, left lower limb"
616,"Viral intestinal infection, unspecified"
617,"Radiculopathy, lumbar region"
618,ALCOH DEP NEC/NOS-CONTIN
619,Alcoholic hepatic failure without coma
620,Other ulcerative colitis without complications
621,TRAUMATIC SUBDURAL HEM
622,Hordeolum externum left lower eyelid
623,"Open bite of lip, initial encounter"
624,Other urticaria
625,"Displacement of other urinary catheter, initial encounter"
626,Volvulus
627,INTERSTITIAL EMPHYSEMA
628,"Tension-type headache, unspecified, not intractable"
629,"Burn of first degree of abdominal wall, initial encounter"
630,"Unsp fracture of shaft of left femur, init for clos fx"
631,Other hemorrhoids
632,JOINT PAIN-ANKLE
633,Pain in right leg
634,Pilonidal cyst with abscess
635,RENAL & URETERAL DIS NOS
636,FX UP END HUMERUS NOS-CL
637,LOCAL SUPRFICIAL SWELLNG
638,FX ASTRAGALUS-CLOSED
639,"Other allergy, initial encounter"
640,ANTEPART HEM NOS-ANTEPAR
641,FX CERVICAL VERT NOS-CL
642,"Contusion of left eyelid and periocular area, init encntr"
643,"Strain of muscle and tendon of back wall of thorax, init"
644,"Nontraumatic intracerebral hemorrhage, intraventricular"
645,Alcoholic cirrhosis of liver with ascites
646,Acute vascular disorders of intestine
647,"Conjunctival edema, bilateral"
648,MENSTRUAL DISORDER NEC
649,"Strain of muscle, fascia and tendon of abdomen, init encntr"
650,"Unsp fracture of right acetabulum, init for clos fx"
651,Intraspinal abscess and granuloma
652,"BIPOL AFF, MANIC-UNSPEC"
653,"Disp fx of distal phalanx of right index finger, init"
654,"Abrasion of right index finger, initial encounter"
655,Scrotal pain
656,"DUE TO RENAL DIALYSIS DEVICE,IMPLANT,GRAFT"
657,"Concussion without loss of consciousness, initial encounter"
658,"Traum subdr hem w/o loss of consciousness, init"
659,Arteriovenous malformation of cerebral vessels
660,Fasciculation
661,Unspecified lump in unspecified breast
662,BRAIN HEM NEC W/O COMA
663,Melena
664,"Upper abdominal pain, unspecified"
665,CONCUSSION W/O COMA
666,"Crohn's disease, unspecified, without complications"
667,FRACTURE PATELLA-CLOSED
668,"Poisoning by heroin, accidental (unintentional), init encntr"
669,PANIC DISORDER
670,LOWER EXTREMITY EMBOLISM
671,FX RADIUS NECK-CLOSED
672,ABN FIND-STOOL CONTENTS
673,SPRAIN NEC
674,"Postproc hemorrhage of skin, subcu following other procedure"
675,CONCUSSION W/ LOSS OF CONSC. 30 MIN. OR LESS
676,CELLULITIS OF FOOT
677,Huntington's disease
678,LOWER LEG INJURY NOS
679,ENCOUNTER FOR CHANGE OR REMOVAL OF NONSURGICAL WOUND DRESSING
680,Panic disorder [episodic paroxysmal anxiety]
681,CHRONIC PANCREATITIS
682,Pain in right hip
683,OTHER SPEC COMPL S/P SURGERY
684,ENLARGEMENT LYMPH NODES
685,Other retention of urine
686,Acute tracheitis without obstruction
687,CONTUSION OF TOE
688,"Otitis media, unspecified, right ear"
689,MASTOIDITIS NOS
690,OPEN WOUND OF HAND
691,PERICARDIAL DISEASE NOS
692,BELL'S PALSY
693,"Effusion, left knee"
694,"Displaced subtrochanteric fracture of left femur, init"
695,URINARY FREQUENCY
696,"Laceration without foreign body of scalp, initial encounter"
697,1ST DEG BURN THIGH
698,AMPUTATION FINGER
699,COMP D/TO GU DEVICE/GRAFT
700,"Arthritis due to other bacteria, right shoulder"
701,Anal abscess
702,"Multiple fractures of ribs, bilateral, init for clos fx"
703,HYPOKALEMIA
704,LUNG CONTUSION-CLOSED
705,ULCERATIVE COLITIS UNSPEC
706,"Dermatitis, unspecified"
707,OBSERV-ACCIDENT NEC
708,OPEN WND UPPER ARM-COMPL
709,Oth soft tissue disorders related to use/pressure oth site
710,COCAINE ABUSE-UNSPEC
711,Perforation of esophagus
712,Other specified paralytic syndromes
